Brand;Type;Layer;Normal exposure time;Off time;Bottom exposure;Bottom layers;Reported by;Temp (C);Comments;Comment 2
3D-Okay;Black;0,03;10;1;60;8;Piotr Cembrzyè?ski;;;
3D-Okay;Black;0,04;12,5;1;60;8;Artur Fuste;;;
3D-Okay;Grey;0,03;12,5;1;60;8;Justin Berry;;;
3D-Okay;Grey;0,04;12;1;55;8;Giulia Basile;;;NEW!
3D-Okay;Grey;0,04;12;1;60;5;ƒ??Nonnef Thandaiusƒ??;;;
3D-Okay;Grey;0,04;12,5;1;60;8;Jon Billings & Artur Fuste;;;
3D-Okay;White;0,1;14;2;80;8;Jeremy Lauzon;;;
Ameralabs;AMD 3 LED;0,04;5;1;50;8;Artur Fuste;14;Work, but we must fine tune this;
Ameralabs;AMD 3 LED;0,05;6;1;50;8;Artur Fuste;14;Changed from 10,2,50,8;
Ameralabs;LED black;0,04;4;3;150;6;Michael Lippert;;fast, ideal for negative features, underexposure of small positive features, overexposure of bottom layers, very weak bottom adhesion, rel. high shrinkage, very brittle;NEW!
Ameralabs;LED black;0,04;5,5;3;150;6;Michael Lippert;;fast, some overexposure of negative features, overexposure of bottom layers, very weak bottom adhesion, superb detail, rel. high shrinkage, very brittle;NEW!
Anycubic;Green;0,02;7,5;1,5;40;8;Daniel Perez;;Printed really well in high detail in hollowed model;
Anycubic;Green;0,05;5,5;1;50;8;Milko Todorov;;;
Anycubic;Green;0,05;10;1;50;8;Standard Setting;;;
Anycubic;Green;0,07;12;1;55;8;MoisÇ¸s Alejandro;;;
Anycubic;White;0,05;15;1;50;8;Andreia Estrela;;;
Anycubic;White;0,05;15;4;60;4;Richard Cadway;;;
Bluecast ;LCD/DLP;0,03;12;2;60;5;Alex Polo;;;
Druckwege;Typ D orange;0,04;20;2;90;6;Michael Lippert;;detailed but extremely brittle, shrinkage comparble to other resins;NEW!
Druckwege;Typ D Pro black;0,04;13;2;90;6;Michael Lippert;;detailed but brittle., shrinkage comparble to other resins;NEW!
